date=2026-01-14, e20=40.2844%, u2=26, d2=5, w10=0, universe=211
date=2026-01-13, e20=40.2844%, u2=8, d2=10, w10=0, universe=211
date=2026-01-12, e20=40.7583%, u2=17, d2=9, w10=0, universe=211
date=2026-01-09, e20=33.6493%, u2=2, d2=36, w10=0, universe=211
date=2026-01-08, e20=48.8152%, u2=0, d2=62, w10=2, universe=211
date=2026-01-07, e20=73.4597%, u2=20, d2=5, w10=4, universe=211
date=2026-01-06, e20=72.5118%, u2=15, d2=17, w10=4, universe=211
date=2026-01-05, e20=74.8815%, u2=18, d2=9, w10=2, universe=211
date=2026-01-02, e20=73.9336%, u2=37, d2=1, w10=3, universe=211
date=2026-01-01, e20=60.1896%, u2=15, d2=3, w10=2, universe=211
date=2025-12-31, e20=58.2938%, u2=16, d2=1, w10=2, universe=211
date=2025-12-30, e20=43.128%, u2=13, d2=16, w10=0, universe=211
date=2025-12-29, e20=42.1801%, u2=1, d2=9, w10=2, universe=211
date=2025-12-26, e20=53.0806%, u2=9, d2=4, w10=5, universe=211
date=2025-12-24, e20=60.1896%, u2=8, d2=3, w10=3, universe=211
date=2025-12-23, e20=64.9289%, u2=10, d2=1, w10=2, universe=211
date=2025-12-22, e20=59.7156%, u2=21, d2=1, w10=0, universe=211
date=2025-12-19, e20=45.9716%, u2=31, d2=1, w10=0, universe=211
date=2025-12-18, e20=32.2275%, u2=11, d2=8, w10=2, universe=211
date=2025-12-17, e20=30.8057%, u2=1, d2=13, w10=1, universe=211
date=2025-12-16, e20=38.3886%, u2=3, d2=13, w10=2, universe=211
date=2025-12-15, e20=46.9194%, u2=6, d2=4, w10=4, universe=211
date=2025-12-12, e20=49.763%, u2=31, d2=1, w10=1, universe=211
date=2025-12-11, e20=35.545%, u2=24, d2=0, w10=0, universe=211
date=2025-12-10, e20=23.2227%, u2=3, d2=11, w10=0, universe=211
date=2025-12-09, e20=25.5924%, u2=22, d2=5, w10=0, universe=211
date=2025-12-08, e20=25.1185%, u2=0, d2=60, w10=0, universe=211
date=2025-12-05, e20=45.0237%, u2=11, d2=10, w10=0, universe=211
date=2025-12-04, e20=39.8104%, u2=6, d2=10, w10=0, universe=211
date=2025-12-03, e20=33.1754%, u2=3, d2=27, w10=0, universe=211
date=2025-12-02, e20=46.4455%, u2=4, d2=5, w10=0, universe=211
date=2025-12-01, e20=49.763%, u2=9, d2=5, w10=2, universe=211
date=2025-11-28, e20=52.1327%, u2=9, d2=5, w10=0, universe=211
date=2025-11-27, e20=53.5545%, u2=5, d2=8, w10=0, universe=211
date=2025-11-26, e20=54.5024%, u2=38, d2=0, w10=0, universe=211
date=2025-11-25, e20=37.4408%, u2=3, d2=3, w10=0, universe=211
date=2025-11-24, e20=36.019%, u2=7, d2=18, w10=0, universe=211
date=2025-11-21, e20=38.8626%, u2=1, d2=23, w10=0, universe=211
date=2025-11-20, e20=54.5024%, u2=12, d2=4, w10=0, universe=211
date=2025-11-19, e20=49.2891%, u2=18, d2=6, w10=1, universe=211
date=2025-11-18, e20=49.2891%, u2=2, d2=8, w10=1, universe=211
date=2025-11-17, e20=62.5592%, u2=15, d2=4, w10=3, universe=211
date=2025-11-14, e20=56.3981%, u2=13, d2=3, w10=5, universe=211
date=2025-11-13, e20=55.9242%, u2=8, d2=10, w10=4, universe=211
date=2025-11-12, e20=57.346%, u2=22, d2=5, w10=4, universe=211
date=2025-11-11, e20=49.763%, u2=15, d2=5, w10=2, universe=211
date=2025-11-10, e20=51.1848%, u2=16, d2=7, w10=2, universe=211
date=2025-11-07, e20=45.0237%, u2=17, d2=7, w10=4, universe=211
date=2025-11-06, e20=42.1801%, u2=7, d2=30, w10=1, universe=211
date=2025-11-04, e20=52.1327%, u2=7, d2=15, w10=4, universe=211
date=2025-11-03, e20=62.0853%, u2=22, d2=4, w10=4, universe=211
date=2025-10-31, e20=54.5024%, u2=12, d2=18, w10=4, universe=211
date=2025-10-30, e20=67.2986%, u2=13, d2=11, w10=2, universe=211
date=2025-10-29, e20=73.9336%, u2=33, d2=9, w10=0, universe=211
date=2025-10-28, e20=65.4028%, u2=9, d2=7, w10=0, universe=211
date=2025-10-27, e20=69.6682%, u2=30, d2=5, w10=5, universe=211
date=2025-10-24, e20=64.455%, u2=7, d2=3, w10=1, universe=211
date=2025-10-23, e20=69.1943%, u2=20, d2=19, w10=0, universe=211
date=2025-10-21, e20=72.0379%, u2=1, d2=0, w10=5, universe=211
date=2025-10-20, e20=69.6682%, u2=23, d2=6, w10=3, universe=211
date=2025-10-17, e20=65.8768%, u2=14, d2=10, w10=2, universe=211
date=2025-10-16, e20=68.7204%, u2=18, d2=3, w10=0, universe=211
date=2025-10-15, e20=62.5592%, u2=25, d2=2, w10=6, universe=211
date=2025-10-14, e20=49.2891%, u2=8, d2=8, w10=1, universe=211
date=2025-10-13, e20=57.346%, u2=13, d2=7, w10=3, universe=211
date=2025-10-10, e20=63.981%, u2=14, d2=4, w10=4, universe=211
date=2025-10-09, e20=58.7678%, u2=26, d2=3, w10=1, universe=211
date=2025-10-08, e20=47.8673%, u2=3, d2=14, w10=3, universe=211
date=2025-10-07, e20=62.5592%, u2=13, d2=4, w10=5, universe=211
date=2025-10-06, e20=59.2417%, u2=24, d2=5, w10=5, universe=211
date=2025-10-03, e20=52.1327%, u2=18, d2=4, w10=2, universe=211
date=2025-10-01, e20=42.654%, u2=32, d2=1, w10=1, universe=211
date=2025-09-30, e20=33.1754%, u2=11, d2=5, w10=1, universe=211
date=2025-09-29, e20=30.3318%, u2=30, d2=5, w10=0, universe=211
date=2025-09-26, e20=21.8009%, u2=1, d2=50, w10=0, universe=211
date=2025-09-25, e20=39.3365%, u2=5, d2=17, w10=3, universe=211
date=2025-09-24, e20=51.6588%, u2=3, d2=15, w10=3, universe=211
date=2025-09-23, e20=59.7156%, u2=10, d2=9, w10=4, universe=211
date=2025-09-22, e20=65.4028%, u2=7, d2=14, w10=4, universe=211
date=2025-09-19, e20=81.5166%, u2=16, d2=2, w10=0, universe=211
date=2025-09-18, e20=85.3081%, u2=14, d2=4, w10=1, universe=211
date=2025-09-17, e20=81.0427%, u2=12, d2=1, w10=1, universe=211
date=2025-09-16, e20=81.9905%, u2=20, d2=1, w10=4, universe=211
date=2025-09-15, e20=78.1991%, u2=11, d2=0, w10=6, universe=211
date=2025-09-12, e20=74.4076%, u2=22, d2=2, w10=2, universe=211
date=2025-09-11, e20=72.9858%, u2=11, d2=4, w10=3, universe=211
date=2025-09-10, e20=70.6161%, u2=36, d2=4, w10=2, universe=211
date=2025-09-09, e20=52.6066%, u2=15, d2=3, w10=3, universe=211
date=2025-09-08, e20=47.3934%, u2=24, d2=6, w10=2, universe=211
date=2025-09-05, e20=44.0758%, u2=10, d2=7, w10=6, universe=211
date=2025-09-04, e20=43.128%, u2=11, d2=14, w10=3, universe=211
date=2025-09-03, e20=54.9763%, u2=21, d2=0, w10=2, universe=211
date=2025-09-02, e20=45.9716%, u2=17, d2=5, w10=1, universe=211
date=2025-09-01, e20=43.6019%, u2=28, d2=0, w10=0, universe=211
date=2025-08-29, e20=26.5403%, u2=9, d2=12, w10=0, universe=211
date=2025-08-28, e20=26.0664%, u2=1, d2=17, w10=0, universe=211
date=2025-08-26, e20=35.545%, u2=5, d2=61, w10=0, universe=211
date=2025-08-25, e20=54.9763%, u2=12, d2=3, w10=3, universe=211
date=2025-08-22, e20=48.8152%, u2=3, d2=4, w10=8, universe=211
date=2025-08-21, e20=61.1374%, u2=8, d2=4, w10=6, universe=211
date=2025-08-20, e20=63.0332%, u2=20, d2=4, w10=11, universe=211
date=2025-08-19, e20=58.7678%, u2=27, d2=3, w10=10, universe=211
date=2025-08-18, e20=47.3934%, u2=59, d2=5, w10=8, universe=211
date=2025-08-14, e20=34.5972%, u2=6, d2=7, w10=0, universe=211
date=2025-08-13, e20=36.9668%, u2=25, d2=4, w10=3, universe=211
date=2025-08-12, e20=26.5403%, u2=7, d2=5, w10=0, universe=211
date=2025-08-11, e20=26.5403%, u2=28, d2=6, w10=0, universe=211
date=2025-08-08, e20=17.0616%, u2=5, d2=28, w10=1, universe=211
date=2025-08-07, e20=28.436%, u2=11, d2=4, w10=0, universe=211
date=2025-08-06, e20=26.5403%, u2=5, d2=22, w10=3, universe=211
date=2025-08-05, e20=30.3318%, u2=10, d2=8, w10=3, universe=211
date=2025-08-04, e20=30.3318%, u2=42, d2=1, w10=2, universe=211
date=2025-08-01, e20=17.0616%, u2=3, d2=27, w10=1, universe=211
date=2025-07-31, e20=27.0142%, u2=9, d2=24, w10=0, universe=211
date=2025-07-30, e20=34.5972%, u2=9, d2=7, w10=0, universe=211
date=2025-07-29, e20=30.8057%, u2=16, d2=2, w10=1, universe=211
date=2025-07-28, e20=20.8531%, u2=6, d2=25, w10=1, universe=211
date=2025-07-25, e20=26.5403%, u2=5, d2=52, w10=1, universe=211
date=2025-07-24, e20=46.9194%, u2=8, d2=12, w10=3, universe=211
date=2025-07-23, e20=51.6588%, u2=12, d2=7, w10=1, universe=211
date=2025-07-22, e20=43.6019%, u2=11, d2=16, w10=2, universe=211
date=2025-07-21, e20=53.5545%, u2=19, d2=6, w10=3, universe=211
date=2025-07-18, e20=49.763%, u2=6, d2=13, w10=2, universe=211
date=2025-07-17, e20=60.1896%, u2=10, d2=6, w10=2, universe=211
date=2025-07-16, e20=61.1374%, u2=13, d2=4, w10=3, universe=211
date=2025-07-15, e20=63.0332%, u2=23, d2=3, w10=3, universe=211
date=2025-07-14, e20=49.2891%, u2=20, d2=2, w10=3, universe=211
date=2025-07-11, e20=42.1801%, u2=4, d2=30, w10=2, universe=211
date=2025-07-10, e20=55.9242%, u2=8, d2=6, w10=1, universe=211
date=2025-07-09, e20=61.1374%, u2=16, d2=9, w10=3, universe=211
date=2025-07-08, e20=65.8768%, u2=6, d2=14, w10=0, universe=211
date=2025-07-07, e20=63.0332%, u2=7, d2=9, w10=2, universe=211
date=2025-07-04, e20=69.6682%, u2=9, d2=8, w10=3, universe=211
date=2025-07-03, e20=70.1422%, u2=8, d2=4, w10=2, universe=211
date=2025-07-02, e20=71.564%, u2=17, d2=14, w10=1, universe=211
date=2025-07-01, e20=75.3555%, u2=10, d2=7, w10=4, universe=211
date=2025-06-30, e20=79.6209%, u2=14, d2=3, w10=8, universe=211
date=2025-06-27, e20=79.6209%, u2=20, d2=5, w10=7, universe=211
date=2025-06-26, e20=78.1991%, u2=35, d2=4, w10=8, universe=211
date=2025-06-25, e20=72.0379%, u2=17, d2=2, w10=2, universe=211
date=2025-06-24, e20=66.3507%, u2=33, d2=5, w10=1, universe=211
date=2025-06-23, e20=54.0284%, u2=13, d2=5, w10=0, universe=211
date=2025-06-20, e20=51.1848%, u2=49, d2=1, w10=0, universe=211
date=2025-06-19, e20=36.4929%, u2=2, d2=51, w10=0, universe=211
date=2025-06-18, e20=48.3412%, u2=9, d2=5, w10=1, universe=211
date=2025-06-17, e20=51.6588%, u2=5, d2=10, w10=1, universe=211
date=2025-06-16, e20=62.5592%, u2=21, d2=1, w10=2, universe=211
date=2025-06-13, e20=51.1848%, u2=8, d2=10, w10=2, universe=211
date=2025-06-12, e20=63.981%, u2=1, d2=35, w10=3, universe=211
date=2025-06-11, e20=83.4123%, u2=10, d2=9, w10=4, universe=211
date=2025-06-10, e20=86.7299%, u2=16, d2=4, w10=8, universe=211
date=2025-06-09, e20=85.782%, u2=32, d2=1, w10=10, universe=211
date=2025-06-06, e20=81.9905%, u2=46, d2=4, w10=9, universe=211
date=2025-06-05, e20=68.7204%, u2=27, d2=0, w10=8, universe=211
date=2025-06-04, e20=67.2986%, u2=20, d2=4, w10=5, universe=211
date=2025-06-03, e20=59.2417%, u2=4, d2=12, w10=4, universe=211
date=2025-06-02, e20=71.564%, u2=21, d2=5, w10=6, universe=211
date=2025-05-30, e20=69.6682%, u2=18, d2=20, w10=5, universe=211
date=2025-05-29, e20=75.3555%, u2=17, d2=2, w10=3, universe=211
date=2025-05-28, e20=75.3555%, u2=10, d2=4, w10=6, universe=211
date=2025-05-27, e20=79.1469%, u2=14, d2=2, w10=3, universe=211
date=2025-05-26, e20=81.5166%, u2=17, d2=5, w10=1, universe=211
date=2025-05-23, e20=81.0427%, u2=16, d2=6, w10=1, universe=211
date=2025-05-22, e20=72.5118%, u2=9, d2=10, w10=2, universe=211
date=2025-05-21, e20=80.0948%, u2=16, d2=1, w10=5, universe=211
date=2025-05-20, e20=76.3033%, u2=3, d2=30, w10=5, universe=211
date=2025-05-19, e20=89.0995%, u2=28, d2=6, w10=19, universe=211
date=2025-05-16, e20=88.6256%, u2=35, d2=2, w10=50, universe=211
date=2025-05-15, e20=85.782%, u2=39, d2=4, w10=32, universe=211
date=2025-05-14, e20=84.3602%, u2=38, d2=1, w10=13, universe=211
date=2025-05-13, e20=80.0948%, u2=17, d2=17, w10=11, universe=211
date=2025-05-12, e20=85.782%, u2=97, d2=2, w10=2, universe=211
date=2025-05-09, e20=39.3365%, u2=14, d2=14, w10=1, universe=211
date=2025-05-08, e20=45.4976%, u2=1, d2=45, w10=0, universe=211
date=2025-05-07, e20=61.6114%, u2=38, d2=6, w10=3, universe=211
date=2025-05-06, e20=58.7678%, u2=3, d2=60, w10=3, universe=211
date=2025-05-05, e20=78.673%, u2=37, d2=2, w10=9, universe=211
date=2025-05-02, e20=64.9289%, u2=8, d2=17, w10=1, universe=211
date=2025-04-30, e20=75.8294%, u2=10, d2=23, w10=1, universe=211
date=2025-04-29, e20=84.3602%, u2=19, d2=7, w10=2, universe=211
date=2025-04-28, e20=87.2038%, u2=23, d2=2, w10=2, universe=211
date=2025-04-25, e20=77.2512%, u2=3, d2=83, w10=7, universe=211
date=2025-04-24, e20=93.8389%, u2=11, d2=7, w10=21, universe=211
date=2025-04-23, e20=94.3128%, u2=39, d2=5, w10=29, universe=211
date=2025-04-22, e20=90.5213%, u2=22, d2=2, w10=53, universe=211
date=2025-04-21, e20=88.6256%, u2=62, d2=1, w10=86, universe=211
date=2025-04-17, e20=82.9384%, u2=37, d2=1, w10=26, universe=211
date=2025-04-16, e20=78.1991%, u2=24, d2=4, w10=47, universe=211
date=2025-04-15, e20=76.7773%, u2=97, d2=0, w10=4, universe=211
date=2025-04-11, e20=51.6588%, u2=64, d2=4, w10=0, universe=211
date=2025-04-09, e20=34.5972%, u2=12, d2=22, w10=0, universe=211
date=2025-04-08, e20=37.9147%, u2=35, d2=0, w10=2, universe=211
date=2025-04-07, e20=21.8009%, u2=1, d2=116, w10=0, universe=211
date=2025-04-04, e20=47.8673%, u2=1, d2=86, w10=3, universe=211
date=2025-04-03, e20=74.4076%, u2=28, d2=21, w10=6, universe=211
date=2025-04-02, e20=73.4597%, u2=37, d2=6, w10=4, universe=211
date=2025-04-01, e20=64.9289%, u2=8, d2=28, w10=4, universe=211
date=2025-03-28, e20=77.2512%, u2=8, d2=9, w10=2, universe=211
date=2025-03-27, e20=84.3602%, u2=45, d2=10, w10=2, universe=211
date=2025-03-26, e20=80.5687%, u2=11, d2=9, w10=5, universe=211
date=2025-03-25, e20=87.6777%, u2=11, d2=22, w10=20, universe=211
date=2025-03-24, e20=91.4692%, u2=28, d2=3, w10=52, universe=211
date=2025-03-21, e20=86.7299%, u2=59, d2=7, w10=36, universe=211
date=2025-03-20, e20=80.5687%, u2=21, d2=5, w10=18, universe=211
date=2025-03-19, e20=76.3033%, u2=61, d2=2, w10=14, universe=211
date=2025-03-18, e20=63.981%, u2=70, d2=1, w10=5, universe=211
date=2025-03-17, e20=40.2844%, u2=29, d2=6, w10=1, universe=211
date=2025-03-13, e20=27.4882%, u2=9, d2=10, w10=1, universe=211
date=2025-03-12, e20=34.5972%, u2=14, d2=17, w10=2, universe=211
date=2025-03-11, e20=35.545%, u2=22, d2=14, w10=4, universe=211
date=2025-03-10, e20=29.3839%, u2=4, d2=31, w10=7, universe=211
date=2025-03-07, e20=41.2322%, u2=12, d2=10, w10=22, universe=211
date=2025-03-06, e20=38.8626%, u2=36, d2=2, w10=6, universe=211
date=2025-03-05, e20=31.7536%, u2=79, d2=2, w10=2, universe=211
date=2025-03-04, e20=12.7962%, u2=22, d2=11, w10=2, universe=211
date=2025-03-03, e20=8.5308%, u2=8, d2=9, w10=0, universe=211
